,Height [m],Temperature [K],Pressure [Pa],Density [kg/m^3],Speed of Sound [m/s],Dynamic Viscosity [kg/(m*s)]
0,0.0,288.15,101325.0,1.225,340.2626485525556,1.7892976260350732e-05
1,100.0,287.5,100129.21880180092,1.2132801128432682,339.878654816686,1.786159746407569e-05
2,200.0,286.84999999999997,98944.89080166376,1.2016462058485666,339.49422675503627,1.783018456788784e-05
3,300.0,286.2,97771.93188126804,1.1900978409310234,339.1093628904988,1.7798737481917384e-05
4,400.0,285.54999999999995,96610.25835137522,1.1786345812516548,338.7240617375742,1.7767256115969684e-05
5,500.0,284.9,95459.7869506081,1.1672559912166502,338.33832180230485,1.773574037952414e-05
6,600.0,284.25,94320.4348442293,1.1559616364766396,337.9521415822069,1.7704190181732984e-05
7,700.0,283.59999999999997,93192.11962292092,1.1447510839259645,337.5655195662021,1.767260543142015e-05
8,800.0,282.95,92074.75930156556,1.133623901701954,337.1784542345492,1.7640986037080115e-05
9,900.0,282.29999999999995,90968.27231802691,1.1225796591841886,336.7909440587736,1.7609331906876752e-05
10,1000.0,281.65,89872.57753193217,1.1116179269937718,336.4029875015975,1.7577642948642136e-05
11,1100.0,281.0,88787.59422345406,1.1007382769925937,336.01458301686847,1.7545919069875447e-05
12,1200.0,280.34999999999997,87713.24209209465,1.0899402822825992,335.62572904948746,1.7514160177741752e-05
13,1300.0,279.7,86649.44125546947,1.079223517205053,335.23642403533654,1.748236617907094e-05
14,1400.0,279.04999999999995,85596.11224809168,1.0685875573397983,334.84666640120514,1.745053698035649e-05
15,1500.0,278.4,84553.17602015838,1.058031979504524,334.45645456471607,1.7418672487754365e-05
16,1600.0,277.75,83520.55393633625,1.0475563617540222,334.0657869342504,1.7386772607081867e-05
17,1700.0,277.09999999999997,82498.16777454855,1.0371602833794449,333.6746619088719,1.7354837243816485e-05
18,1800.0,276.45,81485.93972476339,1.0268433249075701,333.2830778782505,1.732286630309478e-05
19,1900.0,275.79999999999995,80483.79238778121,1.0166050681000482,332.89103322258467,1.7290859689711192e-05
20,2000.0,275.15,79491.6487740248,1.0064450959526658,332.49852631252367,1.725881730811697e-05
21,2100.0,274.5,78509.43230232858,0.9963629926945954,332.1055555090881,1.722673906241901e-05
22,2200.0,273.84999999999997,77537.06679872936,0.9863583437876469,331.7121191635904,1.71946248563787e-05
23,2300.0,273.2,76574.47649525793,0.9764307359255243,331.31821561755396,1.7162474593410865e-05
24,2400.0,272.55,75621.58602873086,0.9665797570330716,330.92384320263176,1.713028817658258e-05
25,2500.0,271.9,74678.32043954318,0.9568049962655208,330.5290002405235,1.7098065508612083e-05
26,2600.0,271.25,73744.60517046244,0.9471060440077441,330.13368504289286,1.706580649186765e-05
27,2700.0,270.59999999999997,72820.36606542241,0.9374824918734949,329.7378959112828,1.7033511028366495e-05
28,2800.0,269.95,71905.52936831868,0.9279339327046567,329.3416311370307,1.7001179019773674e-05
29,2900.0,269.3,71000.02172180377,0.9184599605704823,328.94488900118205,1.6968810367400954e-05
30,3000.0,268.65,70103.77016608418,0.9090601707668394,328.54766777440375,1.6936404972205745e-05
31,3100.0,268.0,69216.70213771757,0.8997341598154514,328.14996571689596,1.690396273478999e-05
32,3200.0,267.34999999999997,68338.74546841033,0.890481525463132,327.75178107830317,1.6871483555399107e-05
33,3300.0,266.7,67469.82838381696,0.8813018666810303,327.3531120976246,1.6838967333920885e-05
34,3400.0,266.05,66609.87950233911,0.8721947836638619,326.953957003123,1.680641396988442e-05
35,3500.0,265.4,65758.82783392585,0.8631598778291454,326.55431401223285,1.6773823362459037e-05
36,3600.0,264.75,64916.60277887499,0.8541967518164384,326.15418133146784,1.6741195410453248e-05
37,3700.0,264.09999999999997,64083.1341266344,0.845305009486567,325.75355715632634,1.6708530012313684e-05
38,3800.0,263.45,63258.35205460496,0.8364842559208598,325.35243967119715,1.667582706612406e-05
39,3900.0,262.8,62442.18712694331,0.827734097420374,324.95082704926295,1.664308646960411e-05
40,4000.0,262.15,61634.57029336624,0.8190541415051262,324.5487174524034,1.6610308120108582e-05
41,4100.0,261.5,60835.43288795544,0.8104439969133207,324.14610903109724,1.65774919146262e-05
42,4200.0,260.84999999999997,60044.70662796266,0.8019032736005686,323.74299992432265,1.6544637749778632e-05
43,4300.0,260.2,59262.323612616674,0.7934315827391211,323.33938825945717,1.6511745521819526e-05
44,4400.0,259.55,58488.21632192955,0.7850285367170826,322.935272152176,1.647881512663346e-05
45,4500.0,258.9,57722.317615504944,0.776693749137638,322.53064970634955,1.6445846459734972e-05
46,4600.0,258.25,56964.560731346755,0.7684268348182713,322.12551901393965,1.6412839416267593e-05
47,4700.0,257.59999999999997,56214.879284667964,0.7602274097899807,321.7198781548942,1.637979389100285e-05
48,4800.0,256.95,55473.20726670137,0.7520950912964997,321.3137251970416,1.6346709778339326e-05
49,4900.0,256.3,54739.47904351003,0.7440294977935096,320.907058195983,1.6313586972301684e-05
50,5000.0,255.64999999999998,54013.62935479894,0.7360302489478525,320.4998751949835,1.628042536653975e-05
51,5100.0,255.0,53295.5933127278,0.7280969656367475,320.0921742248629,1.6247224854327583e-05
52,5200.0,254.35,52585.306400723806,0.7202292699469979,319.68395330388415,1.6213985328562532e-05
53,5300.0,253.7,51882.70447229585,0.7124267851742014,319.2752104376411,1.618070668176435e-05
54,5400.0,253.04999999999998,51187.723749849174,0.7046891358219586,318.86594361894464,1.614738880607431e-05
55,5500.0,252.39999999999998,50500.30082350102,0.6970159476010795,318.4561508277081,1.611403159325431e-05
56,5600.0,251.75,49820.37264989676,0.6894068474287879,318.0458300308306,1.608063493468599e-05
57,5700.0,251.1,49147.876551027,0.6818614634279225,317.63497918207935,1.604719872136991e-05
58,5800.0,250.45,48482.7502130457,0.6743794249261438,317.2235962219708,1.6013722843924694e-05
59,5900.0,249.8,47824.9316850885,0.6669603624551299,316.8116790776502,1.5980207192586204e-05
60,6000.0,249.14999999999998,47174.35937809222,0.6596039077497754,316.39922566276925,1.594665165720673e-05
61,6100.0,248.5,46530.97206361544,0.652309693747393,315.9862338773637,1.5913056127254196e-05
62,6200.0,247.85,45894.70887265891,0.6450773545869027,315.57270160772777,1.5879420491811382e-05
63,6300.0,247.2,45265.50929448782,0.6379065256080304,315.1586267262884,1.584574463957516e-05
64,6400.0,246.55,44643.313175454285,0.6307968433504998,314.74400709147744,1.5812028458855752e-05
65,6500.0,245.9,44028.06071782054,0.6237479455532208,314.3288405476023,1.577827183757599e-05
66,6600.0,245.25,43419.69247858334,0.6167594711534811,313.9131249247154,1.5744474663270607e-05
67,6700.0,244.6,42818.14936829891,0.6098310602861342,313.4968580384818,1.5710636823085568e-05
68,6800.0,243.95,42223.372649908575,0.6029623542827839,313.080037690045,1.567675820377737e-05
69,6900.0,243.3,41635.30393756547,0.5961529956709695,312.6626616658919,1.56428386917124e-05
70,7000.0,242.65,41053.88519546186,0.5894026281733489,312.2447277377154,1.5608878172866298e-05
71,7100.0,242.0,40479.05873665729,0.5827108967068798,311.8262336622754,1.557487653282334e-05
72,7200.0,241.35,39910.767221907605,0.5760774473819991,311.40717718125893,1.554083365677586e-05
73,7300.0,240.7,39348.95365849478,0.5695019275018021,310.98755602113727,1.5506749429523678e-05
74,7400.0,240.05,38793.5613990574,0.5629839855612171,310.56736789302255,1.5472623735473536e-05
75,7500.0,239.4,38244.53414042204,0.5565232712461802,310.14661049252175,1.543845645863859e-05
76,7600.0,238.75,37701.815922435686,0.5501194354328109,309.7252814995895,1.5404247482637916e-05
77,7700.0,238.1,37165.351126798545,0.5437721301865808,309.3033785783789,1.5369996690696014e-05
78,7800.0,237.45,36635.08447589793,0.537481008761484,308.88089937709,1.5335703965642386e-05
79,7900.0,236.8,36110.961031643026,0.5312457255992067,308.4578415278172,1.5301369189911086e-05
80,8000.0,236.15,35592.92619430013,0.5250659363282907,308.0342026463944,1.526699224554033e-05
81,8100.0,235.5,35080.92570132914,0.5189412977633006,307.60998033223825,1.5232573014172149e-05
82,8200.0,234.85,34574.905626220665,0.512871467903986,307.1851721681891,1.5198111377052008e-05
83,8300.0,234.2,34074.81237733375,0.5068561059344422,306.7597757203509,1.5163607215028532e-05
84,8400.0,233.55,33580.592696734835,0.5008948722222702,306.333788537928,1.5129060408553197e-05
85,8500.0,232.9,33092.19365903723,0.4949874283177346,305.90720815306065,1.5094470837680098e-05
86,8600.0,232.25,32609.56267024153,0.4891334369529193,305.48003208065825,1.5059838382065707e-05
87,8700.0,231.6,32132.64746657687,0.4833325620408816,305.0522578182302,1.50251629209687e-05
88,8800.0,230.95,31661.396113343017,0.47758446867480636,304.6238828457152,1.49904443332498e-05
89,8900.0,230.3,31195.757003753188,0.4718888231271546,304.19490462530763,1.4955682497371667e-05
90,9000.0,229.65,30735.67885777775,0.466245292848813,303.7653206012826,1.4920877291398775e-05
91,9100.0,229.0,30281.11072098897,0.46065354646824297,303.3351281998179,1.4886028592997407e-05
92,9200.0,228.35,29832.00196340622,0.45511325379062395,302.90432482881454,1.4851136279435603e-05
93,9300.0,227.7,29388.302278342304,0.44962408579699786,302.47290787771385,1.481620022758323e-05
94,9400.0,227.05,28949.961681250537,0.44418571464341117,302.04087471731367,1.4781220313911997e-05
95,9500.0,226.4,28516.930508572637,0.4387978136600545,301.6082226995809,1.4746196414495585e-05
96,9600.0,225.75,28089.159416587547,0.43346005735040105,301.17494915746227,1.4711128405009788e-05
97,9700.0,225.10000000000002,27666.59938026099,0.4281721213903429,300.74105140469266,1.46760161607327e-05
98,9800.0,224.45,27249.201692095936,0.42293368262732517,300.3065267356006,1.4640859556544928e-05
99,9900.0,223.8,26836.917960984047,0.41774441907948023,299.87137242491156,1.4605658466929902e-05
100,10000.0,223.15,26429.70011105756,0.4126040099347554,299.4355857275484,1.457041276597416e-05
